Type,Date,Losses
Troops,2022-02-26,3500
Planes,2022-02-26,14
Helicopters,2022-02-26,8
Tanks,2022-02-26,102
Artillery Pieces,2022-02-26,15
Armored Personal Carriers,2022-02-26,546
Mobile SRBM Systems,2022-02-26,0
MLRS,2022-02-26,1
Boats,2022-02-26,0
Vehicles,2022-02-26,0
Fuel Tanks,2022-02-26,0
UAV,2022-02-26,0
Anti-Aircraft,2022-02-26,0
Special Equipment,2022-02-26,0
Troops,2022-02-27,800
Planes,2022-02-27,13
Helicopters,2022-02-27,18
Tanks,2022-02-27,44
Artillery Pieces,2022-02-27,34
Armored Personal Carriers,2022-02-27,160
Mobile SRBM Systems,2022-02-27,0
MLRS,2022-02-27,4
Boats,2022-02-27,2
Vehicles,2022-02-27,30
Fuel Tanks,2022-02-27,60
UAV,2022-02-27,2
Anti-Aircraft,2022-02-27,0
Special Equipment,2022-02-27,0
Troops,2022-02-28,1000
Planes,2022-02-28,2
Helicopters,2022-02-28,3
Tanks,2022-02-28,45
Artillery Pieces,2022-02-28,25
Armored Personal Carriers,2022-02-28,110
Mobile SRBM Systems,2022-02-28,0
MLRS,2022-02-28,17
Boats,2022-02-28,0
Vehicles,2022-02-28,261
Fuel Tanks,2022-02-28,0
UAV,2022-02-28,1
Anti-Aircraft,2022-02-28,5
Special Equipment,2022-02-28,0
Troops,2022-03-01,410
Planes,2022-03-01,0
Helicopters,2022-03-01,0
Tanks,2022-03-01,7
Artillery Pieces,2022-03-01,3
Armored Personal Carriers,2022-03-01,30
Mobile SRBM Systems,2022-03-01,0
MLRS,2022-03-01,2
Boats,2022-03-01,0
Vehicles,2022-03-01,14
Fuel Tanks,2022-03-01,0
UAV,2022-03-01,0
Anti-Aircraft,2022-03-01,2
Special Equipment,2022-03-01,0
Troops,2022-03-02,130
Planes,2022-03-02,1
Helicopters,2022-03-02,2
Tanks,2022-03-02,13
Artillery Pieces,2022-03-02,8
Armored Personal Carriers,2022-03-02,16
Mobile SRBM Systems,2022-03-02,0
MLRS,2022-03-02,16
Boats,2022-03-02,0
Vehicles,2022-03-02,50
Fuel Tanks,2022-03-02,0
UAV,2022-03-02,0
Anti-Aircraft,2022-03-02,2
Special Equipment,2022-03-02,0
Troops,2022-03-03,3160
Planes,2022-03-03,0
Helicopters,2022-03-03,0
Tanks,2022-03-03,6
Artillery Pieces,2022-03-03,5
Armored Personal Carriers,2022-03-03,38
Mobile SRBM Systems,2022-03-03,0
MLRS,2022-03-03,2
Boats,2022-03-03,0
Vehicles,2022-03-03,19
Fuel Tanks,2022-03-03,0
UAV,2022-03-03,0
Anti-Aircraft,2022-03-03,2
Special Equipment,2022-03-03,0
Troops,2022-03-04,166
Planes,2022-03-04,3
Helicopters,2022-03-04,6
Tanks,2022-03-04,34
Artillery Pieces,2022-03-04,15
Armored Personal Carriers,2022-03-04,39
Mobile SRBM Systems,2022-03-04,0
MLRS,2022-03-04,8
Boats,2022-03-04,0
Vehicles,2022-03-04,30
Fuel Tanks,2022-03-04,0
UAV,2022-03-04,0
Anti-Aircraft,2022-03-04,7
Special Equipment,2022-03-04,0
Troops,2022-03-05,834
Planes,2022-03-05,6
Helicopters,2022-03-05,3
Tanks,2022-03-05,18
Artillery Pieces,2022-03-05,0
Armored Personal Carriers,2022-03-05,6
Mobile SRBM Systems,2022-03-05,0
MLRS,2022-03-05,0
Boats,2022-03-05,0
Vehicles,2022-03-05,5
Fuel Tanks,2022-03-05,0
UAV,2022-03-05,0
Anti-Aircraft,2022-03-05,0
Special Equipment,2022-03-05,0
Troops,2022-03-06,1000
Planes,2022-03-06,5
Helicopters,2022-03-06,8
Tanks,2022-03-06,16
Artillery Pieces,2022-03-06,4
Armored Personal Carriers,2022-03-06,40
Mobile SRBM Systems,2022-03-06,0
MLRS,2022-03-06,0
Boats,2022-03-06,0
Vehicles,2022-03-06,38
Fuel Tanks,2022-03-06,0
UAV,2022-03-06,1
Anti-Aircraft,2022-03-06,3
Special Equipment,2022-03-06,0
Troops,2022-03-07,0
Planes,2022-03-07,2
Helicopters,2022-03-07,20
Tanks,2022-03-07,5
Artillery Pieces,2022-03-07,8
Armored Personal Carriers,2022-03-07,14
Mobile SRBM Systems,2022-03-07,0
MLRS,2022-03-07,0
Boats,2022-03-07,0
Vehicles,2022-03-07,7
Fuel Tanks,2022-03-07,0
UAV,2022-03-07,3
Anti-Aircraft,2022-03-07,2
Special Equipment,2022-03-07,0
Troops,2022-03-08,1000
Planes,2022-03-08,2
Helicopters,2022-03-08,12
Tanks,2022-03-08,13
Artillery Pieces,2022-03-08,3
Armored Personal Carriers,2022-03-08,37
Mobile SRBM Systems,2022-03-08,0
MLRS,2022-03-08,6
Boats,2022-03-08,0
Vehicles,2022-03-08,20
Fuel Tanks,2022-03-08,0
UAV,2022-03-08,0
Anti-Aircraft,2022-03-08,4
Special Equipment,2022-03-08,0
Troops,2022-03-09,0
Planes,2022-03-09,1
Helicopters,2022-03-09,1
Tanks,2022-03-09,14
Artillery Pieces,2022-03-09,0
Armored Personal Carriers,2022-03-09,34
Mobile SRBM Systems,2022-03-09,0
MLRS,2022-03-09,0
Boats,2022-03-09,0
Vehicles,2022-03-09,8
Fuel Tanks,2022-03-09,0
UAV,2022-03-09,0
Anti-Aircraft,2022-03-09,1
Special Equipment,2022-03-09,0
Troops,2022-03-10,0
Planes,2022-03-10,0
Helicopters,2022-03-10,0
Tanks,2022-03-10,18
Artillery Pieces,2022-03-10,3
Armored Personal Carriers,2022-03-10,35
Mobile SRBM Systems,2022-03-10,0
MLRS,2022-03-10,0
Boats,2022-03-10,0
Vehicles,2022-03-10,44
Fuel Tanks,2022-03-10,0
UAV,2022-03-10,0
Anti-Aircraft,2022-03-10,1
Special Equipment,2022-03-10,0
Troops,2022-03-11,0
Planes,2022-03-11,8
Helicopters,2022-03-11,2
Tanks,2022-03-11,18
Artillery Pieces,2022-03-11,2
Armored Personal Carriers,2022-03-11,60
Mobile SRBM Systems,2022-03-11,0
MLRS,2022-03-11,2
Boats,2022-03-11,0
Vehicles,2022-03-11,32
Fuel Tanks,2022-03-11,0
UAV,2022-03-11,0
Anti-Aircraft,2022-03-11,2
Special Equipment,2022-03-11,0
Troops,2022-03-12,0
Planes,2022-03-12,1
Helicopters,2022-03-12,0
Tanks,2022-03-12,9
Artillery Pieces,2022-03-12,10
Armored Personal Carriers,2022-03-12,40
Mobile SRBM Systems,2022-03-12,0
MLRS,2022-03-12,4
Boats,2022-03-12,0
Vehicles,2022-03-12,27
Fuel Tanks,2022-03-12,0
UAV,2022-03-12,0
Anti-Aircraft,2022-03-12,2
Special Equipment,2022-03-12,0
Troops,2022-03-13,0
Planes,2022-03-13,16
Helicopters,2022-03-13,3
Tanks,2022-03-13,12
Artillery Pieces,2022-03-13,5
Armored Personal Carriers,2022-03-13,21
Mobile SRBM Systems,2022-03-13,0
MLRS,2022-03-13,0
Boats,2022-03-13,0
Vehicles,2022-03-13,15
Fuel Tanks,2022-03-13,0
UAV,2022-03-13,0
Anti-Aircraft,2022-03-13,1
Special Equipment,2022-03-13,0
Troops,2022-03-14,0
Planes,2022-03-14,3
Helicopters,2022-03-14,4
Tanks,2022-03-14,15
Artillery Pieces,2022-03-14,10
Armored Personal Carriers,2022-03-14,23
Mobile SRBM Systems,2022-03-14,0
MLRS,2022-03-14,2
Boats,2022-03-14,0
Vehicles,2022-03-14,17
Fuel Tanks,2022-03-14,0
UAV,2022-03-14,1
Anti-Aircraft,2022-03-14,0
Special Equipment,2022-03-14,0
Troops,2022-03-15,1500
Planes,2022-03-15,4
Helicopters,2022-03-15,5
Tanks,2022-03-15,15
Artillery Pieces,2022-03-15,0
Armored Personal Carriers,2022-03-15,30
Mobile SRBM Systems,2022-03-15,0
MLRS,2022-03-15,0
Boats,2022-03-15,0
Vehicles,2022-03-15,23
Fuel Tanks,2022-03-15,0
UAV,2022-03-15,1
Anti-Aircraft,2022-03-15,2
Special Equipment,2022-03-15,0
Troops,2022-03-16,300
Planes,2022-03-16,3
Helicopters,2022-03-16,13
Tanks,2022-03-16,26
Artillery Pieces,2022-03-16,40
Armored Personal Carriers,2022-03-16,96
Mobile SRBM Systems,2022-03-16,0
MLRS,2022-03-16,6
Boats,2022-03-16,0
Vehicles,2022-03-16,179
Fuel Tanks,2022-03-16,0
UAV,2022-03-16,2
Anti-Aircraft,2022-03-16,7
Special Equipment,2022-03-16,0
Troops,2022-03-17,200
Planes,2022-03-17,2
Helicopters,2022-03-17,0
Tanks,2022-03-17,14
Artillery Pieces,2022-03-17,11
Armored Personal Carriers,2022-03-17,60
Mobile SRBM Systems,2022-03-17,0
MLRS,2022-03-17,2
Boats,2022-03-17,0
Vehicles,2022-03-17,45
Fuel Tanks,2022-03-17,0
UAV,2022-03-17,0
Anti-Aircraft,2022-03-17,0
Special Equipment,2022-03-17,0
Troops,2022-03-18,200
Planes,2022-03-18,7
Helicopters,2022-03-18,4
Tanks,2022-03-18,6
Artillery Pieces,2022-03-18,4
Armored Personal Carriers,2022-03-18,13
Mobile SRBM Systems,2022-03-18,0
MLRS,2022-03-18,0
Boats,2022-03-18,1
Vehicles,2022-03-18,15
Fuel Tanks,2022-03-18,0
UAV,2022-03-18,1
Anti-Aircraft,2022-03-18,0
Special Equipment,2022-03-18,0
Troops,2022-03-19,200
Planes,2022-03-19,2
Helicopters,2022-03-19,3
Tanks,2022-03-19,16
Artillery Pieces,2022-03-19,8
Armored Personal Carriers,2022-03-19,22
Mobile SRBM Systems,2022-03-19,0
MLRS,2022-03-19,0
Boats,2022-03-19,0
Vehicles,2022-03-19,35
Fuel Tanks,2022-03-19,0
UAV,2022-03-19,5
Anti-Aircraft,2022-03-19,1
Special Equipment,2022-03-19,11
Troops,2022-03-20,300
Planes,2022-03-20,1
